Total states: 9901
Time      Preys     Predators   H         
------------------------------------------
4.9       0.0151931 0.429348    3.52364   
4.91      0.0152455 0.426688    3.52365   
4.92      0.0152984 0.424044    3.52367   
4.93      0.0153517 0.421417    3.52369   
4.94      0.0154056 0.418806    3.5237    
4.95      0.0154599 0.416212    3.52372   
4.96      0.0155148 0.413634    3.52374   
4.97      0.0155701 0.411071    3.52376   
4.98      0.015626  0.408525    3.52377   
4.99      0.0156824 0.405994    3.52379   
5         0.0157393 0.40348     3.52381   
5.01      0.0157967 0.400981    3.52382   
5.02      0.0158546 0.398497    3.52384   
5.03      0.015913  0.396029    3.52386   
5.04      0.015972  0.393576    3.52388   
5.05      0.0160315 0.391139    3.52389   
5.06      0.0160915 0.388716    3.52391   
5.07      0.016152  0.386309    3.52393   
5.08      0.0162131 0.383917    3.52395   
5.09      0.0162747 0.381539    3.52396   
5.1       0.0163368 0.379176    3.52398   
5.11      0.0163995 0.376828    3.524     
5.12      0.0164627 0.374495    3.52402   
5.13      0.0165265 0.372176    3.52403   
5.14      0.0165908 0.369872    3.52405   
5.15      0.0166556 0.367582    3.52407   
5.16      0.016721  0.365306    3.52409   
5.17      0.016787  0.363044    3.52411   
5.18      0.0168535 0.360797    3.52412   
5.19      0.0169206 0.358563    3.52414   
5.2       0.0169882 0.356343    3.52416   
5.21      0.0170564 0.354137    3.52418   
5.22      0.0171251 0.351945    3.5242    
5.23      0.0171945 0.349767    3.52421   
5.24      0.0172644 0.347602    3.52423   
5.25      0.0173348 0.34545     3.52425   
5.26      0.0174059 0.343312    3.52427   
5.27      0.0174775 0.341187    3.52429   
5.28      0.0175497 0.339075    3.52431   
5.29      0.0176225 0.336977    3.52432   
5.3       0.0176959 0.334891    3.52434   
5.31      0.0177699 0.332819    3.52436   
5.32      0.0178445 0.330759    3.52438   
5.33      0.0179197 0.328713    3.5244    
5.34      0.0179955 0.326679    3.52442   
5.35      0.0180718 0.324657    3.52443   
5.36      0.0181488 0.322648    3.52445   
5.37      0.0182264 0.320652    3.52447   
5.38      0.0183047 0.318668    3.52449   
5.39      0.0183835 0.316697    3.52451   
5.4       0.018463  0.314737    3.52453   
5.41      0.0185431 0.31279     3.52455   
5.42      0.0186238 0.310855    3.52457   
5.43      0.0187051 0.308932    3.52459   
5.44      0.0187871 0.307021    3.5246    
5.45      0.0188697 0.305122    3.52462   
5.46      0.018953  0.303235    3.52464   
5.47      0.0190369 0.30136     3.52466   
5.48      0.0191214 0.299496    3.52468   
5.49      0.0192067 0.297644    3.5247    
5.5       0.0192925 0.295803    3.52472   
5.51      0.019379  0.293974    3.52474   
5.52      0.0194662 0.292156    3.52476   
5.53      0.0195541 0.290349    3.52478   
5.54      0.0196426 0.288554    3.5248    
5.55      0.0197318 0.28677     3.52482   
5.56      0.0198217 0.284997    3.52484   
5.57      0.0199123 0.283235    3.52486   
5.58      0.0200035 0.281483    3.52487   
5.59      0.0200955 0.279743    3.52489   
5.6       0.0201881 0.278014    3.52491   
5.61      0.0202814 0.276295    3.52493   
5.62      0.0203755 0.274588    3.52495   
5.63      0.0204702 0.27289     3.52497   
5.64      0.0205657 0.271204    3.52499   
5.65      0.0206619 0.269527    3.52501   
5.66      0.0207588 0.267862    3.52503   
5.67      0.0208564 0.266206    3.52505   
5.68      0.0209547 0.264561    3.52507   
5.69      0.0210538 0.262926    3.52509   
5.7       0.0211536 0.261302    3.52511   
5.71      0.0212541 0.259687    3.52513   
5.72      0.0213554 0.258083    3.52515   
5.73      0.0214575 0.256488    3.52517   
5.74      0.0215603 0.254904    3.52519   
5.75      0.0216638 0.253329    3.52521   
5.76      0.0217682 0.251764    3.52523   
5.77      0.0218732 0.250209    3.52525   
5.78      0.0219791 0.248663    3.52527   
5.79      0.0220857 0.247127    3.52529   
5.8       0.0221932 0.245601    3.52531   
5.81      0.0223014 0.244084    3.52533   
5.82      0.0224104 0.242577    3.52535   
5.83      0.0225201 0.241079    3.52538   
5.84      0.0226307 0.23959     3.5254    
5.85      0.0227421 0.238111    3.52542   
5.86      0.0228543 0.23664     3.52544   
5.87      0.0229674 0.235179    3.52546   
5.88      0.0230812 0.233727    3.52548   
5.89      0.0231959 0.232285    3.5255    
5.9       0.0233114 0.230851    3.52552   
5.91      0.0234277 0.229426    3.52554   
5.92      0.0235449 0.228009    3.52556   
5.93      0.0236629 0.226602    3.52558   
5.94      0.0237817 0.225204    3.5256    
5.95      0.0239015 0.223814    3.52562   
5.96      0.024022  0.222432    3.52564   
5.97      0.0241435 0.22106     3.52567   
5.98      0.0242658 0.219696    3.52569   
5.99      0.024389  0.21834     3.52571   
6         0.0245131 0.216993    3.52573   
6.01      0.0246381 0.215654    3.52575   
6.02      0.0247639 0.214324    3.52577   
6.03      0.0248907 0.213002    3.52579   
6.04      0.0250183 0.211688    3.52581   
6.05      0.0251469 0.210382    3.52583   
6.06      0.0252764 0.209085    3.52585   
6.07      0.0254068 0.207795    3.52588   
6.08      0.0255382 0.206514    3.5259    
6.09      0.0256704 0.20524     3.52592   
6.1       0.0258037 0.203974    3.52594   
6.11      0.0259378 0.202717    3.52596   
6.12      0.0260729 0.201467    3.52598   
6.13      0.026209  0.200225    3.526     
6.14      0.026346  0.19899     3.52603   
6.15      0.026484  0.197764    3.52605   
6.16      0.026623  0.196545    3.52607   
6.17      0.026763  0.195333    3.52609   
6.18      0.0269039 0.194129    3.52611   
6.19      0.0270459 0.192933    3.52613   
6.2       0.0271888 0.191744    3.52615   
6.21      0.0273328 0.190563    3.52618   
6.22      0.0274777 0.189388    3.5262    
6.23      0.0276237 0.188221    3.52622   
6.24      0.0277707 0.187062    3.52624   
6.25      0.0279188 0.185909    3.52626   
6.26      0.0280679 0.184764    3.52629   
6.27      0.028218  0.183626    3.52631   
6.28      0.0283692 0.182495    3.52633   
6.29      0.0285214 0.181371    3.52635   
6.3       0.0286747 0.180254    3.52637   
6.31      0.0288291 0.179144    3.52639   
6.32      0.0289845 0.178041    3.52642   
6.33      0.0291411 0.176945    3.52644   
6.34      0.0292987 0.175856    3.52646   
6.35      0.0294575 0.174773    3.52648   
6.36      0.0296173 0.173697    3.5265    
6.37      0.0297783 0.172628    3.52653   
6.38      0.0299404 0.171565    3.52655   
6.39      0.0301036 0.170509    3.52657   
6.4       0.030268  0.16946     3.52659   
6.41      0.0304335 0.168417    3.52662   
6.42      0.0306001 0.167381    3.52664   
6.43      0.0307679 0.166351    3.52666   
6.44      0.0309369 0.165328    3.52668   
6.45      0.0311071 0.164311    3.5267    
6.46      0.0312784 0.1633      3.52673   
6.47      0.0314509 0.162296    3.52675   
6.48      0.0316246 0.161297    3.52677   
6.49      0.0317996 0.160306    3.52679   
6.5       0.0319757 0.15932     3.52682   
