- Read data: 1001
Preys: 10	Predators: 10	H: 423.358
Preys: 0.0002666	Predators: 8.42895e-07	H: 515.969
Preys: 0.000269533	Predators: 8.05815e-07	H: 515.982
Preys: 0.000272498	Predators: 7.70367e-07	H: 515.996
Preys: 0.000275495	Predators: 7.36478e-07	H: 516.01
Preys: 0.000278526	Predators: 7.04079e-07	H: 516.023
Preys: 0.00028159	Predators: 6.73106e-07	H: 516.037
Preys: 0.000284687	Predators: 6.43496e-07	H: 516.051
Preys: 0.000287819	Predators: 6.15188e-07	H: 516.064
Preys: 0.000290985	Predators: 5.88126e-07	H: 516.078
Preys: 0.000294186	Predators: 5.62254e-07	H: 516.091
Preys: 0.000297422	Predators: 5.3752e-07	H: 516.105
Preys: 0.000300693	Predators: 5.13874e-07	H: 516.119
Preys: 0.000304001	Predators: 4.91269e-07	H: 516.132
Preys: 0.000307345	Predators: 4.69658e-07	H: 516.146
Preys: 0.000310726	Predators: 4.48998e-07	H: 516.159
Preys: 0.000314144	Predators: 4.29247e-07	H: 516.173
Preys: 0.000317599	Predators: 4.10364e-07	H: 516.187
Preys: 0.000321093	Predators: 3.92313e-07	H: 516.2
Preys: 0.000324625	Predators: 3.75055e-07	H: 516.214
Preys: 0.000328196	Predators: 3.58557e-07	H: 516.227
Preys: 0.000331806	Predators: 3.42784e-07	H: 516.241
Preys: 0.000335456	Predators: 3.27705e-07	H: 516.255
Preys: 0.000339146	Predators: 3.1329e-07	H: 516.268
Preys: 0.000342876	Predators: 2.99509e-07	H: 516.282
Preys: 0.000346648	Predators: 2.86334e-07	H: 516.295
Preys: 0.000350461	Predators: 2.73738e-07	H: 516.309
Preys: 0.000354316	Predators: 2.61697e-07	H: 516.323
Preys: 0.000358214	Predators: 2.50185e-07	H: 516.336
Preys: 0.000362154	Predators: 2.3918e-07	H: 516.35
Preys: 0.000366138	Predators: 2.28659e-07	H: 516.364
Preys: 0.000370165	Predators: 2.18601e-07	H: 516.377
Preys: 0.000374237	Predators: 2.08985e-07	H: 516.391
Preys: 0.000378354	Predators: 1.99792e-07	H: 516.404
Preys: 0.000382515	Predators: 1.91004e-07	H: 516.418
Preys: 0.000386723	Predators: 1.82602e-07	H: 516.432
Preys: 0.000390977	Predators: 1.7457e-07	H: 516.445
Preys: 0.000395278	Predators: 1.66891e-07	H: 516.459
Preys: 0.000399626	Predators: 1.5955e-07	H: 516.472
Preys: 0.000404022	Predators: 1.52532e-07	H: 516.486
Preys: 0.000408466	Predators: 1.45823e-07	H: 516.5
Preys: 0.000412959	Predators: 1.39408e-07	H: 516.513
Preys: 0.000417502	Predators: 1.33276e-07	H: 516.527
Preys: 0.000422094	Predators: 1.27414e-07	H: 516.54
Preys: 0.000426737	Predators: 1.2181e-07	H: 516.554
Preys: 0.000431431	Predators: 1.16452e-07	H: 516.568
Preys: 0.000436177	Predators: 1.11329e-07	H: 516.581
Preys: 0.000440975	Predators: 1.06433e-07	H: 516.595
Preys: 0.000445826	Predators: 1.01751e-07	H: 516.608
Preys: 0.00045073	Predators: 9.72755e-08	H: 516.622
Preys: 0.000455688	Predators: 9.29968e-08	H: 516.636
Preys: 0.0004607	Predators: 8.89064e-08	H: 516.649
Preys: 0.000465768	Predators: 8.49958e-08	H: 516.663
Preys: 0.000470892	Predators: 8.12573e-08	H: 516.676
Preys: 0.000476071	Predators: 7.76833e-08	H: 516.69
Preys: 0.000481308	Predators: 7.42664e-08	H: 516.704
Preys: 0.000486603	Predators: 7.09999e-08	H: 516.717
Preys: 0.000491955	Predators: 6.7877e-08	H: 516.731
Preys: 0.000497367	Predators: 6.48915e-08	H: 516.745
Preys: 0.000502838	Predators: 6.20374e-08	H: 516.758
Preys: 0.000508369	Predators: 5.93088e-08	H: 516.772
Preys: 0.000513961	Predators: 5.67002e-08	H: 516.785
Preys: 0.000519615	Predators: 5.42063e-08	H: 516.799
Preys: 0.00052533	Predators: 5.18222e-08	H: 516.813
Preys: 0.000531109	Predators: 4.95429e-08	H: 516.826
Preys: 0.000536951	Predators: 4.73639e-08	H: 516.84
Preys: 0.000542858	Predators: 4.52807e-08	H: 516.853
Preys: 0.000548829	Predators: 4.32892e-08	H: 516.867
Preys: 0.000554866	Predators: 4.13852e-08	H: 516.881
Preys: 0.00056097	Predators: 3.9565e-08	H: 516.894
