Total states: 66001
Time      Preys     Predators   H         
0.469     12.5842   5.30264     -2.41196  
0.47      12.5902   5.30401     -2.41196  
0.471     12.5961   5.30538     -2.41196  
0.472     12.602    5.30676     -2.41196  
0.473     12.6079   5.30814     -2.41196  
0.474     12.6138   5.30952     -2.41196  
0.475     12.6197   5.31091     -2.41196  
0.476     12.6256   5.3123      -2.41196  
0.477     12.6316   5.3137      -2.41196  
0.478     12.6375   5.3151      -2.41196  
0.479     12.6434   5.3165      -2.41196  
0.48      12.6493   5.3179      -2.41196  
0.481     12.6552   5.31931     -2.41196  
0.482     12.6612   5.32072     -2.41196  
0.483     12.6671   5.32214     -2.41196  
0.484     12.673    5.32356     -2.41196  
0.485     12.6789   5.32498     -2.41196  
0.486     12.6849   5.32641     -2.41196  
0.487     12.6908   5.32784     -2.41196  
0.488     12.6967   5.32927     -2.41196  
0.489     12.7027   5.33071     -2.41196  
0.49      12.7086   5.33215     -2.41196  
0.491     12.7145   5.33359     -2.41196  
0.492     12.7205   5.33504     -2.41196  
0.493     12.7264   5.33649     -2.41196  
0.494     12.7323   5.33795     -2.41196  
0.495     12.7383   5.33941     -2.41196  
0.496     12.7442   5.34087     -2.41196  
0.497     12.7501   5.34234     -2.41196  
0.498     12.7561   5.3438      -2.41196  
0.499     12.762    5.34528     -2.41196  
0.5       12.768    5.34675     -2.41196  
0.501     12.7739   5.34823     -2.41196  
0.502     12.7798   5.34972     -2.41196  
0.503     12.7858   5.3512      -2.41196  
0.504     12.7917   5.35269     -2.41196  
0.505     12.7977   5.35419     -2.41196  
0.506     12.8036   5.35569     -2.41196  
0.507     12.8096   5.35719     -2.41196  
0.508     12.8155   5.35869     -2.41196  
0.509     12.8215   5.3602      -2.41196  
0.51      12.8274   5.36171     -2.41196  
0.511     12.8334   5.36323     -2.41196  
0.512     12.8393   5.36475     -2.41196  
0.513     12.8453   5.36627     -2.41196  
0.514     12.8512   5.3678      -2.41196  
0.515     12.8572   5.36933     -2.41195  
0.516     12.8631   5.37087     -2.41195  
0.517     12.8691   5.3724      -2.41195  
0.518     12.875    5.37394     -2.41195  
0.519     12.881    5.37549     -2.41195  
0.52      12.8869   5.37704     -2.41195  
0.521     12.8929   5.37859     -2.41195  
0.522     12.8989   5.38015     -2.41195  
0.523     12.9048   5.38171     -2.41195  
0.524     12.9108   5.38327     -2.41195  
0.525     12.9167   5.38484     -2.41195  
0.526     12.9227   5.38641     -2.41195  
0.527     12.9287   5.38798     -2.41195  
0.528     12.9346   5.38956     -2.41195  
0.529     12.9406   5.39114     -2.41195  
0.53      12.9466   5.39273     -2.41195  
0.531     12.9525   5.39431     -2.41195  
0.532     12.9585   5.39591     -2.41195  
0.533     12.9644   5.3975      -2.41195  
0.534     12.9704   5.3991      -2.41195  
0.535     12.9764   5.40071     -2.41195  
0.536     12.9823   5.40232     -2.41195  
0.537     12.9883   5.40393     -2.41195  
0.538     12.9943   5.40554     -2.41195  
0.539     13.0003   5.40716     -2.41195  
0.54      13.0062   5.40878     -2.41195  
0.541     13.0122   5.41041     -2.41195  
0.542     13.0182   5.41204     -2.41195  
0.543     13.0241   5.41367     -2.41195  
0.544     13.0301   5.41531     -2.41195  
0.545     13.0361   5.41695     -2.41195  
0.546     13.0421   5.41859     -2.41195  
0.547     13.048    5.42024     -2.41195  
0.548     13.054    5.42189     -2.41195  
0.549     13.06     5.42355     -2.41195  
0.55      13.066    5.42521     -2.41195  
0.551     13.0719   5.42687     -2.41195  
0.552     13.0779   5.42854     -2.41195  
0.553     13.0839   5.43021     -2.41195  
0.554     13.0899   5.43189     -2.41195  
0.555     13.0959   5.43356     -2.41195  
0.556     13.1018   5.43525     -2.41195  
0.557     13.1078   5.43693     -2.41195  
0.558     13.1138   5.43862     -2.41195  
0.559     13.1198   5.44032     -2.41195  
0.56      13.1258   5.44201     -2.41195  
0.561     13.1318   5.44371     -2.41195  
0.562     13.1377   5.44542     -2.41195  
0.563     13.1437   5.44713     -2.41195  
0.564     13.1497   5.44884     -2.41195  
0.565     13.1557   5.45056     -2.41195  
0.566     13.1617   5.45228     -2.41195  
0.567     13.1677   5.454       -2.41195  
0.568     13.1736   5.45573     -2.41195  
0.569     13.1796   5.45746     -2.41195  
0.57      13.1856   5.45919     -2.41195  
0.571     13.1916   5.46093     -2.41195  
0.572     13.1976   5.46268     -2.41195  
0.573     13.2036   5.46442     -2.41195  
0.574     13.2096   5.46617     -2.41195  
0.575     13.2156   5.46793     -2.41195  
0.576     13.2215   5.46969     -2.41195  
0.577     13.2275   5.47145     -2.41195  
0.578     13.2335   5.47321     -2.41195  
0.579     13.2395   5.47498     -2.41195  
0.58      13.2455   5.47676     -2.41195  
0.581     13.2515   5.47854     -2.41194  
0.582     13.2575   5.48032     -2.41194  
0.583     13.2635   5.4821      -2.41194  
0.584     13.2695   5.48389     -2.41194  
0.585     13.2755   5.48568     -2.41194  
0.586     13.2815   5.48748     -2.41194  
0.587     13.2875   5.48928     -2.41194  
0.588     13.2934   5.49109     -2.41194  
0.589     13.2994   5.49289     -2.41194  
0.59      13.3054   5.49471     -2.41194  
0.591     13.3114   5.49652     -2.41194  
0.592     13.3174   5.49834     -2.41194  
0.593     13.3234   5.50017     -2.41194  
0.594     13.3294   5.50199     -2.41194  
0.595     13.3354   5.50383     -2.41194  
0.596     13.3414   5.50566     -2.41194  
0.597     13.3474   5.5075      -2.41194  
0.598     13.3534   5.50935     -2.41194  
0.599     13.3594   5.51119     -2.41194  
0.6       13.3654   5.51304     -2.41194  
0.601     13.3714   5.5149      -2.41194  
0.602     13.3774   5.51676     -2.41194  
0.603     13.3834   5.51862     -2.41194  
0.604     13.3894   5.52049     -2.41194  
0.605     13.3954   5.52236     -2.41194  
0.606     13.4014   5.52424     -2.41194  
0.607     13.4074   5.52611     -2.41194  
0.608     13.4134   5.528       -2.41194  
0.609     13.4194   5.52988     -2.41194  
0.61      13.4254   5.53178     -2.41194  
0.611     13.4314   5.53367     -2.41194  
0.612     13.4374   5.53557     -2.41194  
0.613     13.4434   5.53747     -2.41194  
0.614     13.4494   5.53938     -2.41194  
0.615     13.4554   5.54129     -2.41194  
0.616     13.4614   5.5432      -2.41194  
0.617     13.4674   5.54512     -2.41194  
0.618     13.4734   5.54705     -2.41194  
0.619     13.4794   5.54897     -2.41194  
0.62      13.4854   5.5509      -2.41194  
0.621     13.4914   5.55284     -2.41194  
0.622     13.4974   5.55478     -2.41194  
0.623     13.5034   5.55672     -2.41194  
0.624     13.5094   5.55867     -2.41194  
0.625     13.5154   5.56062     -2.41194  
0.626     13.5214   5.56257     -2.41194  
0.627     13.5274   5.56453     -2.41194  
0.628     13.5334   5.56649     -2.41194  
